ticker,pe (ttm),price to nca,price to net cash,current ratio,dividend yield %
7885.T,88.25,0.68,3.88,3.43,2.66
5973.T,12.32,0.65,-1.69,2.1,3.1
7021.T,76.52,0.67,-54.38,1.96,1.49
9885.T,--,0.45,0.66,6.33,2.69
8141.T,34.31,0.97,-29.88,2.72,3.16
7420.T,265.18,0.77,-0.64,1.63,4.53
7544.T,67.28,0.83,0.97,3.47,2.57
4987.T,--,0.83,3.38,3.14,2.44
8144.T,10.72,0.75,-1.41,1.87,3.67
7427.T,15.1,0.57,-0.23,1.33,3.19
9995.T,--,0.63,-1.51,2.53,2.88
7937.T,179.98,0.9,1.32,41.07,1.24
8281.T,--,0.7,-0.7,1.55,4.35
6839.T,--,0.45,1.22,2.68,--
8139.T,--,0.59,-0.29,1.39,3.09
7769.T,--,0.57,-2.18,1.82,4.64
7758.T,--,0.71,30.86,2.82,1.87
6335.T,--,0.73,-0.75,1.4,--
8013.T,--,0.6,-28.35,2.04,--
2767.T,--,0.7,6.03,1.79,2.98
7908.T,--,0.78,1.24,3.44,3.01
7999.T,--,0.89,7.91,2.56,2.3
9854.T,--,0.8,1.78,4.11,--
8011.T,--,1.4,-0.55,1.22,4.1
6418.T,--,0.91,7.62,3.74,3.03
8105.T,--,1.04,2.68,5.9,--
GDL.TO,12.94,0.92,-0.5,1.53,3.25
